customer_id,android_id,trans_time,wifimac,wifimac_id
4310264,e4cfe4b2d17d6ecb,2020-08-24 16:25:06,F8:E7:A0:0C:A0:99,62
4310720,60b89ffc5b63e95a,2020-08-14 15:40:23,C0:87:EB:12:13:AB,63
4259934,a1fd645e8eb46cec,2020-08-11 14:40:20,EC:D0:9F:4A:3F:9B,64
4349190,706d6fd1644ff962,2020-08-27 09:55:49,A8:1B:5A:DA:FB:F0,65
4085930,991e308dd91ed823,2020-09-19 21:00:11,0C:A8:A7:AE:C5:CE,66
3596557,5980bf1b977fcd9d,2020-09-04 18:45:18,70:8F:47:FD:8D:C3,67
4350231,d8349880729890a1,2020-08-30 13:35:17,20:34:FB:D4:07:D8,68
4352496,f5c55b28daeaf071,2020-09-03 18:25:13,54:40:AD:A0:8D:78,69
4371639,542bacd9e80d9f1c,2020-09-04 18:00:25,34:E9:11:29:0D:33,70
4387970,7cabb304c2cc27f6,2020-09-10 13:00:12,A8:3E:0E:97:04:73,71
2250184,cef71e3544aa6e73,2020-07-27 11:20:06,80:35:C1:01:3C:10,72
4294901,f6dc0227ddb7e62e,2020-09-11 19:45:04,20:5E:F7:C5:01:AE,73
4366269,74fbc1b5de16db3,2020-09-22 11:40:02,F0:6D:78:7F:81:D7,74
4347637,7b52110d5e5574a,2020-08-28 12:20:13,3C:B6:B7:35:77:F3,75
4112583,214cb087aedd50d3,2020-08-10 14:55:04,80:35:C1:34:55:E4,76
4290290,0e66a861f957df69,2020-09-16 15:20:08,0C:A8:A7:42:22:D4,77
4290200,a153f81d1b511de6,2020-08-14 09:05:15,F4:D6:20:C6:2E:CC,78
4282522,1a01e4c2155facab,2020-08-15 01:05:21,94:87:E0:0C:AA:AD,79
4283931,b6ea84b7d69be741,2020-08-26 06:00:02,08:7F:98:EC:7E:AF,80
3693255,d4e55f3ee410ef4f,2020-08-25 14:10:19,18:02:AE:8E:61:05,81
3651515,1a9cca79fc2c472f,2020-08-24 11:20:09,18:02:AE:75:1B:29,82
4406975,455d80ccb70ab413,2020-09-20 19:45:11,BA:D1:BD:75:74:25,83
3896949,09a9904cb55a89ba,2020-09-14 14:55:06,1E:7F:38:20:B4:0A,84
3896949,09a9904cb55a89ba,2020-09-14 14:55:06,1A:06:89:B2:8C:BB,85
4382317,e2a25023bf90621a,2020-09-16 18:25:10,A4:D9:90:64:99:95,86
4357941,287213cbe24869ed,2020-09-16 12:35:10,E4:C4:83:46:F1:55,87
4395536,f697ce212e34621c,2020-09-15 16:20:07,7C:03:AB:2E:5B:B9,88
4382760,585de156723dbfd4,2020-09-08 13:15:31,44:46:87:68:BA:79,89
4277317,483d74f2993fb607,2020-08-21 16:35:12,C4:FE:5B:75:C8:9D,90
2521305,7bcf94b85c99dedd,2020-07-08 09:50:06,18:02:AE:8B:0A:65,91
4370622,0ae52fabb0e6e68f,2020-09-14 05:10:02,B4:CB:57:7D:44:D5,92
3609067,f3d4a8d0d0716bf1,2020-09-21 08:00:10,A4:D9:90:7D:47:03,93
3609067,f3d4a8d0d0716bf1,2020-09-21 08:00:10,C6:4E:12:4B:92:03,94
4296835,ef08b7bde5466e12,2020-08-13 10:35:20,A4:D9:90:B9:74:73,95
4272007,4f5112522b6abee0,2020-07-25 08:20:10,A4:D9:90:23:AA:53,96
4293969,6db84c0bf69fd67f,2020-08-07 18:25:18,54:0E:2D:E5:1C:85,97
3647582,e83068d685d7cc0f,2020-07-05 11:45:13,a4:d9:90:76:52:49,98
4265752,3698979dbd3a1435,2020-07-20 10:30:25,94:2D:DC:A7:5F:F2,99
2924685,03d579c5038d2344,2020-08-14 11:55:14,C0:87:EB:FA:37:AD,100
4021910,2eb05b5535db77f5,2020-09-09 13:10:17,A4:D9:90:78:B6:4D,101
4339798,5d6cdeba9b2ae792,2020-08-29 18:40:07,C0:87:EB:E3:0C:35,102
