customer_id,android_id,trans_time,ipv4,ipv4_flag,ipv4_id
4251665,bbe0b373dcc4cf45,2020-07-15 11:35:09,105.107.188.242,1,6208
4251665,bbe0b373dcc4cf45,2020-07-15 11:35:09,105.80.227.60,1,6209
4253376,f902d9e5dc8523b4,2020-07-13 07:25:14,100.78.72.201,1,6210
4337630,6d013649a7d4df00,2020-08-26 09:35:20,105.56.112.70,1,6211
4101218,1d5707eef4c7e7aa,2020-09-14 19:30:08,105.52.11.64,1,6212
4315550,57a3cc407a24ce6b,2020-08-23 19:30:03,102.203.45.234,1,6213
4315550,57a3cc407a24ce6b,2020-08-23 19:30:03,105.109.59.166,1,6214
4312743,66cab95d2d956910,2020-08-18 13:35:17,102.86.44.30,1,6215
3787409,65cb5e86dbbd14c2,2020-07-19 16:55:10,100.65.184.209,1,6216
4268851,28705495155f9791,2020-07-21 17:40:22,100.103.3.62,1,6217
3887698,bf2b58f32d7cb816,2020-09-19 16:05:07,100.64.200.250,1,6218
3887698,bf2b58f32d7cb816,2020-09-19 16:05:07,105.55.198.35,1,6219
3887698,bf2b58f32d7cb816,2020-09-19 16:05:07,102.67.190.192,1,6220
4404499,b3df156bc12eed9b,2020-09-22 11:10:05,105.126.242.119,1,6221
4366643,c1bfd718bf49ee2a,2020-09-07 22:45:10,100.81.170.173,1,6222
4294424,b64e12b036a4225a,2020-08-10 10:45:18,102.83.137.225,1,6223
4299979,d9c2b6b61d2d55cd,2020-08-10 13:45:16,105.18.252.102,1,6224
4067609,cf65d9cac14ab8ba,2020-09-10 22:05:11,102.40.130.33,1,6225
4372202,a1c2cb2d52852450,2020-09-17 18:20:06,105.21.189.213,1,6226
1958950,2da772da647f0ddc,2020-08-18 10:40:06,100.117.15.107,1,6227
4297729,d4fcf46168380123,2020-08-30 21:50:07,102.5.128.249,1,6228
4297729,d4fcf46168380123,2020-08-30 21:50:07,102.0.200.148,1,6229
4088354,e34bcbc7712a3614,2020-08-08 20:45:18,102.200.11.151,1,6230
4088354,e34bcbc7712a3614,2020-08-08 20:45:18,105.87.61.233,1,6231
4088354,e34bcbc7712a3614,2020-08-08 20:45:18,102.224.139.47,1,6232
4267519,37de5694cae5af34,2020-07-20 21:15:08,100.112.156.84,1,6233
4307679,3255d725103b59ca,2020-08-13 18:15:33,105.7.64.249,1,6234
4273449,f4fcc9de28187dd1,2020-09-15 14:40:02,100.87.9.196,1,6235
4273449,f4fcc9de28187dd1,2020-09-15 14:40:02,100.87.135.229,1,6236
4266660,c12b90481de9b536,2020-07-20 12:35:25,105.118.33.205,1,6237
4006998,ed4db813eb567c38,2020-06-20 20:40:10,100.65.52.41,1,6238
4403715,0fc7fe1b526548f2,2020-09-21 10:45:24,100.106.28.249,1,6239
2814751,0d88cf9dc179e924,2020-08-14 20:40:04,100.80.224.116,1,6240
4127725,b80393c28e77c905,2020-07-16 06:50:03,100.76.198.230,1,6241
4280767,fff89a530070190e,2020-08-16 16:45:10,105.72.34.169,1,6242
4280767,fff89a530070190e,2020-08-16 16:45:10,105.101.28.56,1,6243
4280767,fff89a530070190e,2020-08-16 16:45:10,102.22.168.202,1,6244
4094571,48ce34cbe5040d14,2020-08-20 14:50:10,100.84.34.167,1,6245
4315256,ebf7a92df040aa44,2020-08-18 09:35:27,100.71.57.124,1,6246
4315256,ebf7a92df040aa44,2020-08-18 09:35:27,100.66.43.128,1,6247
4315256,ebf7a92df040aa44,2020-08-18 09:35:27,100.69.56.35,1,6248
4376034,df8ad9c7b7921a45,2020-09-06 08:40:13,100.84.63.196,1,6249
4194986,2e5f88c62097c914,2020-07-05 11:15:10,100.73.200.169,1,6250
3827639,258ada6268e42bcb,2020-07-30 13:00:21,105.10.15.229,1,6251
3827639,258ada6268e42bcb,2020-07-30 13:00:21,102.34.191.108,1,6252
3827639,258ada6268e42bcb,2020-07-30 13:00:21,102.95.1.90,1,6253
4242689,27c627944e01ff38,2020-07-12 07:45:09,105.44.160.117,1,6254
4192159,c6aa42a993be1d7d,2020-06-15 16:15:18,105.25.49.76,1,6255
4192159,c6aa42a993be1d7d,2020-06-15 16:15:18,105.1.119.160,1,6256
