user_id,customer_id,android_id,trans_time,wifimac,wifimac_id
63,4191693,0e820c5b93186024,2020-07-14 15:15:15,A4:D9:90:22:A8:6F,7843
64,4272257,2a7d8e0456218ad2,2020-07-24 11:05:15,A4:3D:78:20:F4:3B,9882
65,4179702,40afc0fa1547dc54,2020-07-23 16:55:09,04:33:85:1E:A3:0A,27258
65,4179702,40afc0fa1547dc54,2020-07-23 16:55:09,32:E6:99:E0:D3:6A,27259
66,4227280,00958ee357aacca3,2020-07-08 12:05:02,9E:E2:9A:BD:D8:E3,8148
67,4227095,c5fbb34178ec1025,2020-06-25 11:45:13,30:84:54:E7:FE:8D,29100
68,4265813,924d4f489f74d49e,2020-07-19 19:45:16,54:0E:2D:C8:FF:2D,15621
69,4262405,9941b560433ceae6,2020-07-21 06:45:13,18:02:AE:94:E3:D1,20703
70,349199,fcd3974c8edb81f0,2020-07-31 17:45:05,24:18:1D:D4:E5:2C,10320
71,3728476,a06d45c1bdbda3df,2020-08-01 19:50:05,6C:24:A6:DF:9C:EB,33812
72,1671024,2eeb3ce1d48f5f8e,2020-06-19 11:30:10,EC:51:BC:63:7D:15,33397
73,4280760,9be931e6da814c61,2020-07-29 19:05:13,E4:C4:83:72:32:C7,9037
74,4281840,c95a10be3e9228aa,2020-07-30 12:45:26,D0:9C:7A:1D:00:CA,21375
75,3821035,e81c68b10c5559b9,2020-07-02 17:50:11,9C:6B:72:6C:DB:C5,27653
76,4159458,967f2d91901d57f5,2020-07-06 11:20:10,A4:D9:90:D5:BB:C9,17332
77,858631,39017a2388cfdad2,2020-07-07 20:55:19,04:C8:07:9D:DE:8E,18841
78,4283127,93ede0cdd2de486b,2020-07-31 12:45:19,9C:6B:72:68:CD:69,24510
79,4204657,bd80388e067cc36b,2020-06-01 07:50:05,0C:A8:A7:2D:1E:44,28598
80,4187745,b719b61e8c30ac8e,2020-06-21 06:30:11,0C:A8:A7:12:EA:FC,23867
81,4117000,5dc78e551186356f,2020-06-21 18:05:05,88:D5:0C:36:6A:AE,28676
82,4226194,a48854a5d96c4a9d,2020-06-24 15:15:11,28:31:66:75:F4:79,20037
83,4232172,c87f03287ad0ebc9,2020-07-07 22:50:12,1C:77:F6:EB:40:EA,7936
84,4252812,c46425bb1f4f1cab,2020-07-13 13:30:27,A4:D9:90:61:B2:57,21607
85,4280448,e561cad1fafcfe1a,2020-07-30 11:15:20,0C:98:38:CC:CF:A5,10200
