user_id,customer_id,android_id,trans_time,ipv4,ipv4_flag,ipv4_id
336,4250557,d340a04f7245aec6,2020-07-16 13:45:11,102.123.103.192,1,6432
343,987072,df4ca941e8a00be3,2020-07-07 10:15:09,100.68.30.128,1,4249
348,4229492,e54cd718c2ad18d1,2020-06-27 10:15:11,100.66.58.219,1,7879
366,4212728,383f4c727c12a225,2020-06-11 13:15:09,102.141.248.174,1,5801
372,2582627,9506345b11a1a33d,2020-07-11 08:15:17,100.110.169.235,1,629
375,4259678,bf58d0d29270336c,2020-07-16 22:55:11,105.21.243.182,1,5812
376,4276723,14494b9d4a8bacd0,2020-07-30 10:05:26,100.101.43.36,1,5791
382,3673987,0cd4937664f52615,2020-06-21 08:55:08,100.109.124.163,1,1777
382,3673987,0cd4937664f52615,2020-06-21 08:55:08,100.74.154.176,1,1778
384,4280595,1c5973bd590bc980,2020-07-29 17:05:26,100.72.249.183,1,3725
387,4214046,b09a656f3ea98d37,2020-06-13 10:00:11,105.133.98.169,1,7540
388,906898,3edddf091a2b0e81,2020-06-27 07:45:13,100.101.115.124,1,8482
412,3714047,8caa11fe71b6c8cc,2020-07-10 06:35:07,100.74.129.153,1,5257
413,4265344,afa54d0cb3649e2b,2020-07-19 14:30:11,100.101.32.146,1,6907
414,3944087,ca61aea402b3d2ad,2020-06-27 12:40:09,198.51.100.111,1,260
418,4284179,5e3d59db9d59705d,2020-08-01 08:10:15,102.86.201.116,1,2526
420,4257896,832abf0263a37d67,2020-07-16 18:20:05,105.6.50.93,1,7039
424,4218542,0da8f3dbad381ec8,2020-07-14 14:35:45,105.20.221.121,1,4479
424,4218542,0da8f3dbad381ec8,2020-07-14 14:35:45,102.33.174.28,1,4480
424,4218542,0da8f3dbad381ec8,2020-07-14 14:35:45,102.8.83.163,1,4481
424,4218542,0da8f3dbad381ec8,2020-07-14 14:35:45,102.37.93.43,1,4482
425,4022892,6f1b8005c2f0bc2e,2020-07-04 12:10:13,100.106.244.156,1,124
432,4219716,5572d45e2b492732,2020-06-18 12:40:08,102.231.222.243,1,6583
467,4245758,6473008869f5305d,2020-07-09 16:20:15,105.115.22.225,1,6781
467,4245758,6473008869f5305d,2020-07-09 16:20:15,105.97.26.128,1,6782
468,3852824,72f5cf4d16981522,2020-06-29 17:10:33,100.70.204.173,1,3241
476,4208323,a6fe013054cf740d,2020-06-05 16:10:13,100.70.136.234,1,6139
479,3974134,55e13ad358291baf,2020-06-16 16:25:11,100.116.84.37,1,7595
480,4281072,2b68f9fa62b4d39e,2020-08-02 18:25:11,88.88.89.118,1,8347
